Label,mean_test_score,rank_test_score,param_C,param_degree,param_kernel,mean_fit_time
Two,0.5357798165137615,47,3.0,4,poly,3.2785480499267576
Two,0.5926605504587157,8,3.0,4,rbf,2.968705177307129
Strict Two,0.7877009084556253,13,0.5,2,linear,0.2711615085601807
Strict Two,0.5687631027253668,46,0.5,2,poly,0.3138711929321289
Strict Two,0.7540880503144655,35,0.5,2,rbf,0.4018247127532959
Strict Two,0.7877009084556253,13,0.5,3,linear,0.2142282485961914
Strict Two,0.550104821802935,50,0.5,3,poly,0.21850333213806153
Strict Two,0.7540880503144655,35,0.5,3,rbf,0.3352664470672607
Strict Two,0.7877009084556253,13,0.5,4,linear,0.21988110542297362
Strict Two,0.550104821802935,50,0.5,4,poly,0.2712716579437256
Strict Two,0.7540880503144655,35,0.5,4,rbf,0.3556709289550781
Strict Two,0.7877009084556253,13,1.0,2,linear,0.24514393806457518
Strict Two,0.676450034940601,42,1.0,2,poly,0.22562036514282227
Strict Two,0.772606568832984,32,1.0,2,rbf,0.3480644702911377
Strict Two,0.7877009084556253,13,1.0,3,linear,0.230780029296875
Strict Two,0.5649196366177497,48,1.0,3,poly,0.28285870552062986
Strict Two,0.772606568832984,32,1.0,3,rbf,0.3153653621673584
Strict Two,0.7877009084556253,13,1.0,4,linear,0.20312418937683105
Strict Two,0.5575821104122991,49,1.0,4,poly,0.251752233505249
Strict Two,0.772606568832984,32,1.0,4,rbf,0.32738189697265624
Strict Two,0.7877009084556253,13,1.5,2,linear,0.22960753440856935
Strict Two,0.7763102725366876,31,1.5,2,poly,0.24059648513793946
Strict Two,0.8024458420684836,7,1.5,2,rbf,0.4407957553863525
Strict Two,0.7877009084556253,13,1.5,3,linear,0.22480216026306152
Strict Two,0.579874213836478,45,1.5,3,poly,0.24829392433166503
Strict Two,0.8024458420684836,7,1.5,3,rbf,0.3575888633728027
Strict Two,0.7877009084556253,13,1.5,4,linear,0.19901437759399415
Strict Two,0.5649895178197065,47,1.5,4,poly,0.20894999504089357
Strict Two,0.8024458420684836,7,1.5,4,rbf,0.3407110691070557
Strict Two,0.7877009084556253,13,2.0,2,linear,0.24937705993652343
Strict Two,0.7243186582809223,38,2.0,2,poly,0.2244959831237793
Strict Two,0.8024458420684836,7,2.0,2,rbf,0.34807500839233396
Strict Two,0.7877009084556253,13,2.0,3,linear,0.24624457359313964
Strict Two,0.6360587002096436,43,2.0,3,poly,0.2663732051849365
Strict Two,0.8024458420684836,7,2.0,3,rbf,0.38938198089599607
Strict Two,0.7877009084556253,13,2.0,4,linear,0.23696680068969728
Strict Two,0.5390635918937805,53,2.0,4,poly,0.30573463439941406
Strict Two,0.8024458420684836,7,2.0,4,rbf,0.4248027801513672
Strict Two,0.7877009084556253,13,2.5,2,linear,0.2107090473175049
Strict Two,0.7095038434661076,40,2.5,2,poly,0.23009958267211914
Strict Two,0.8060796645702306,1,2.5,2,rbf,0.36368227005004883
Strict Two,0.7877009084556253,13,2.5,3,linear,0.2744902610778809
Strict Two,0.620754716981132,44,2.5,3,poly,0.2684942722320557
Strict Two,0.8060796645702306,1,2.5,3,rbf,0.36658687591552735
Strict Two,0.7877009084556253,13,2.5,4,linear,0.26781163215637205
Strict Two,0.535359888190077,54,2.5,4,poly,0.27976350784301757
Strict Two,0.8060796645702306,1,2.5,4,rbf,0.34040021896362305
Strict Two,0.7877009084556253,13,3.0,2,linear,0.2305466651916504
Strict Two,0.709433962264151,41,3.0,2,poly,0.2581948280334473
Strict Two,0.8060796645702306,1,3.0,2,rbf,0.3522533893585205
Strict Two,0.7877009084556253,13,3.0,3,linear,0.2692880153656006
Strict Two,0.7243186582809223,38,3.0,3,poly,0.30260696411132815
Strict Two,0.8060796645702306,1,3.0,3,rbf,0.3239613056182861
Strict Two,0.7877009084556253,13,3.0,4,linear,0.24973278045654296
Strict Two,0.546470999301188,52,3.0,4,poly,0.2729078769683838
Strict Two,0.8060796645702306,1,3.0,4,rbf,0.21361851692199707
